event_id,session_id,user_key,product_key,date_key,event_name,page_type,page_load_ms,event_timestamp
1,SES-2025-000001,0,0,20250928,session_visit,home_or_landing,1431,2025-09-28 03:44:46
2,SES-2025-000001,0,0,20250928,browse_search,category_search_listing,1607,2025-09-28 03:45:15
3,SES-2025-000002,3268,0,20251105,session_visit,home_or_landing,2044,2025-11-05 14:38:15
4,SES-2025-000003,6486,0,20251104,session_visit,home_or_landing,883,2025-11-04 22:22:32
5,SES-2025-000003,6486,0,20251104,browse_search,category_search_listing,782,2025-11-04 22:23:05
6,SES-2025-000003,6486,8,20251104,product_view,product_detail,1070,2025-11-04 22:23:39
7,SES-2025-000004,0,0,20250214,session_visit,home_or_landing,1941,2025-02-14 13:33:08
8,SES-2025-000005,0,0,20250813,session_visit,home_or_landing,4558,2025-08-13 04:35:24
9,SES-2025-000005,0,0,20250813,browse_search,category_search_listing,4620,2025-08-13 04:35:45
10,SES-2025-000005,0,8,20250813,product_view,product_detail,4640,2025-08-13 04:36:41
11,SES-2025-000006,4274,0,20250812,session_visit,home_or_landing,3204,2025-08-12 20:08:34
12,SES-2025-000006,4274,0,20250812,browse_search,category_search_listing,3452,2025-08-12 20:08:48
13,SES-2025-000006,4274,31,20250812,product_view,product_detail,3317,2025-08-12 20:09:42
14,SES-2025-000007,5468,0,20250417,session_visit,home_or_landing,742,2025-04-17 07:49:44
15,SES-2025-000007,5468,0,20250417,browse_search,category_search_listing,901,2025-04-17 07:49:58
16,SES-2025-000008,0,0,20250212,session_visit,home_or_landing,1472,2025-02-12 21:11:20
17,SES-2025-000008,0,0,20250212,browse_search,category_search_listing,1576,2025-02-12 21:11:41
18,SES-2025-000008,0,31,20250212,product_view,product_detail,1772,2025-02-12 21:11:58
19,SES-2025-000008,0,31,20250212,add_to_cart,cart_modal,1709,2025-02-12 21:12:18
20,SES-2025-000009,2965,0,20251005,session_visit,home_or_landing,1220,2025-10-05 20:05:52
21,SES-2025-000010,4117,0,20250730,session_visit,home_or_landing,652,2025-07-30 07:18:20
22,SES-2025-000011,4585,0,20251008,session_visit,home_or_landing,475,2025-10-08 12:55:33
23,SES-2025-000012,0,0,20250821,session_visit,home_or_landing,1278,2025-08-21 00:35:18
24,SES-2025-000012,0,0,20250821,browse_search,category_search_listing,1307,2025-08-21 00:35:41
25,SES-2025-000012,0,20,20250821,product_view,product_detail,1329,2025-08-21 00:36:16
26,SES-2025-000013,1747,0,20250906,session_visit,home_or_landing,4350,2025-09-06 02:29:56
27,SES-2025-000013,1747,0,20250906,browse_search,category_search_listing,4298,2025-09-06 02:30:37
28,SES-2025-000013,1747,16,20250906,product_view,product_detail,4433,2025-09-06 02:30:58
29,SES-2025-000014,0,0,20250523,session_visit,home_or_landing,1950,2025-05-23 00:13:45
30,SES-2025-000015,9119,0,20251122,session_visit,home_or_landing,700,2025-11-22 02:00:26
31,SES-2025-000016,1813,0,20250618,session_visit,home_or_landing,2329,2025-06-18 10:28:22
32,SES-2025-000016,1813,0,20250618,browse_search,category_search_listing,2564,2025-06-18 10:28:46
33,SES-2025-000016,1813,1,20250618,product_view,product_detail,2627,2025-06-18 10:29:36
34,SES-2025-000017,0,0,20250814,session_visit,home_or_landing,670,2025-08-14 19:22:07
35,SES-2025-000018,4937,0,20251029,session_visit,home_or_landing,1881,2025-10-29 06:00:32
36,SES-2025-000018,4937,0,20251029,browse_search,category_search_listing,2082,2025-10-29 06:01:06
37,SES-2025-000018,4937,4,20251029,product_view,product_detail,1997,2025-10-29 06:01:27
38,SES-2025-000019,2898,0,20251115,session_visit,home_or_landing,2184,2025-11-15 17:17:13
39,SES-2025-000019,2898,0,20251115,browse_search,category_search_listing,2172,2025-11-15 17:17:39
40,SES-2025-000019,2898,3,20251115,product_view,product_detail,2291,2025-11-15 17:18:01
41,SES-2025-000020,1071,0,20251228,session_visit,home_or_landing,1194,2025-12-28 19:19:45
42,SES-2025-000020,1071,0,20251228,browse_search,category_search_listing,1146,2025-12-28 19:20:13
43,SES-2025-000021,8501,0,20250713,session_visit,home_or_landing,3286,2025-07-13 22:53:58
44,SES-2025-000021,8501,0,20250713,browse_search,category_search_listing,3230,2025-07-13 22:54:25
45,SES-2025-000022,0,0,20250622,session_visit,home_or_landing,393,2025-06-22 07:40:23
46,SES-2025-000022,0,0,20250622,browse_search,category_search_listing,510,2025-06-22 07:40:52
47,SES-2025-000022,0,33,20250622,product_view,product_detail,626,2025-06-22 07:41:46
48,SES-2025-000023,5448,0,20251230,session_visit,home_or_landing,999,2025-12-30 05:21:13
49,SES-2025-000023,5448,0,20251230,browse_search,category_search_listing,1077,2025-12-30 05:21:51
50,SES-2025-000023,5448,1,20251230,product_view,product_detail,997,2025-12-30 05:22:31
51,SES-2025-000024,1814,0,20250606,session_visit,home_or_landing,1185,2025-06-06 04:11:08
52,SES-2025-000024,1814,0,20250606,browse_search,category_search_listing,1407,2025-06-06 04:11:49
53,SES-2025-000024,1814,12,20250606,product_view,product_detail,1127,2025-06-06 04:12:14
54,SES-2025-000025,0,0,20250124,session_visit,home_or_landing,1653,2025-01-24 01:13:17
55,SES-2025-000026,774,0,20250709,session_visit,home_or_landing,1165,2025-07-09 02:06:04
56,SES-2025-000026,774,0,20250709,browse_search,category_search_listing,1169,2025-07-09 02:06:49
57,SES-2025-000026,774,23,20250709,product_view,product_detail,1081,2025-07-09 02:07:17
58,SES-2025-000027,6740,0,20250716,session_visit,home_or_landing,2069,2025-07-16 17:03:46
59,SES-2025-000027,6740,0,20250716,browse_search,category_search_listing,2127,2025-07-16 17:04:08
60,SES-2025-000028,4984,0,20251208,session_visit,home_or_landing,841,2025-12-08 12:32:05
61,SES-2025-000028,4984,0,20251208,browse_search,category_search_listing,1046,2025-12-08 12:32:35
